"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","2151-AS-3.579545-18-ND","AS-3.579545-18","CRYSTAL 3.579545MHZ 18PF TH","Y1","1","0","0.28000","0.28"
"2","1","800-1034-1-ND","501MILFT","IC CLK MULTIPLIER PLL 8-SOIC","U1","1","0","4.44000","4.44"
"3","2","BC1006CT-ND","K270J15C0GF5TL2","CAP CER 27PF 50V C0G/NP0 RADIAL","C4,C5","2","0","0.40000","0.80"
"4","1","455-1652-ND","B6PS-VH(LF)(SN)","CONN HEADER R/A 6POS 3.96MM","J2","1","0","0.71000","0.71"
"5","1","732-5309-ND","61303621121","CONN HEADER VERT 36POS 2.54MM","Arduino 18x2","1","0","2.70000","2.70"
"6","1","2057-PH1-10-UA-ND","PH1-10-UA","CONN HEADER VERT 10POS 2.54MM","Arduino 1x10","1","0","0.25000","0.25"
"7","5","2057-PH1-08-UA-ND","PH1-08-UA","CONN HEADER VERT 8POS 2.54MM","Arduino 1x8","5","0","0.26000","1.30"
"8","1","EDC395982-ND","395-098-520-350","CONN EDGE DUAL FMALE 98POS 0.100","J1","1","0","5.23000","5.23"
"9","10","P19513CT-ND","ECA-1CM100I","CAP ALUM 10UF 20% 16V RADIAL","C1,C2,C3","10","0","0.27900","2.79"
"10","1","455-3984-ND","VHR-6M","CONN RCPT HSG 6POS 3.96MM","Power Harness Connector","1","0","0.52000","0.52"
"11","10","455-1319-1-ND","SVH-41T-P1.1","CONN SOCKET 16-20AWG CRIMP TIN","Power Harness Pins","10","0","0.14100","1.41"